"","Protein1","Protein2","Gene1","Gene2","Context","StringScore","CC","MF","BP"
"3431","P11387","P13797","TOP1","PLS3","poor",0,0.407,0.239,0.207
"3432","P11387","P23528","TOP1","CFL1","poor",0,0.505,0.418,0.288
"3433","P11387","P42167","TOP1","TMPO","poor",0,0.625,0.692,0
"3434","P11387","P46782","TOP1","RPS5","poor",153,0.594,0.616,0.306
"3435","P11387","Q17RB8","TOP1","LONRF1","poor",0,0.456,0.411,0
"3436","P11387","Q9UQ16","TOP1","DNM3","poor",0,0.351,0.444,0.256
"3437","P11388","P20671","TOP2A","H2AC7","poor",283,0.546,0.476,0.307
"3438","P11388","P47914","TOP2A","RPL29","poor",0,0.506,0.444,0.204
"3439","P11388","P57053","TOP2A","H2BC12L","poor",0,0.658,0.54,0.121
"3440","P11388","P62805","TOP2A","H4C1","poor",650,0.729,0.674,0.288
"3441","P11388","P62979","TOP2A","RPS27A","poor",361,0.636,0.607,0.173
"3442","P11388","P62987","TOP2A","UBA52","poor",0,0.587,0.457,0.17
"3443","P11388","P68431","TOP2A","H3C1","poor",465,0.71,0.638,0.294
"3444","P11388","P84243","TOP2A","H3-3A","poor",457,0.751,0.545,0.251
"3445","P11388","Q16695","TOP2A","H3-4","poor",0,0.651,0.637,0.24
"3446","P11388","Q16777","TOP2A","H2AC20","poor",0,0.546,0.476,0.307
"3447","P11388","Q5TEC6","TOP2A","H3-7","poor",0,0.633,0.54,0
"3448","P11388","Q6FI13","TOP2A","H2AC18","poor",0,0.546,0.558,0.307
"3449","P11388","Q6NXT2","TOP2A","H3-5","poor",0,0.656,0.549,0.307
"3450","P11388","Q71DI3","TOP2A","H3C15","poor",0,0.608,0.637,0.24
"3451","P11388","Q7L7L0","TOP2A","H2AW","poor",0,0,0,0
"3452","P11388","Q8IUE6","TOP2A","H2AC21","poor",0,0.546,0.558,0.307
"3453","P11388","Q8NFC6","TOP2A","BOD1L1","poor",0,0.646,1,0.357
"3454","P11388","Q93077","TOP2A","H2AC6","poor",0,0.612,0.558,0.24
"3455","P11388","Q96KK5","TOP2A","H2AC12","poor",0,0.546,0.476,0.307
"3456","P11388","Q96QV6","TOP2A","H2AC1","poor",0,0.602,0.451,0.251
"3457","P11388","Q99878","TOP2A","H2AC14","poor",242,0,0,0
"3458","P11388","Q9BTM1","TOP2A","H2AJ","poor",0,0.546,0.476,0.307
"3459","P11388","Q9UBW7","TOP2A","ZMYM2","poor",0,0.609,0.496,0.309
"3460","P11388","Q9UQP3","TOP2A","TNN","poor",0,0.294,0.387,0.246
"3461","P11413","P68104","G6PD","EEF1A1","poor",234,0.731,0.485,0.226
"3462","P11413","Q5VTE0","G6PD","EEF1A1P5","poor",0,0.756,0.331,0.245
"3463","P11413","Q9UNY4","G6PD","TTF2","poor",309,0.645,0.434,0.179
"3464","P11532","Q9P281","DMD","BAHCC1","poor",0,0,0.543,0
"3465","P11586","Q14103","MTHFD1","HNRNPD","poor",0,0.569,0.371,0.238
"3466","P11586","Q6KC79","MTHFD1","NIPBL","poor",0,0.714,0.385,0.326
"3467","P11586","Q9Y2L1","MTHFD1","DIS3","poor",0,0.693,0.316,0.19
"3468","P11717","Q04912","IGF2R","MST1R","poor",0,0.54,0.694,0.518
"3469","P11908","Q14558","PRPS2","PRPSAP1","poor",976,0.968,0.879,0.822
"3470","P11926","P60896","ODC1","SEM1","poor",901,0,0,0
"3471","P11926","Q14191","ODC1","WRN","poor",0,0.528,0.36,0.246
"3472","P11940","Q04637","PABPC1","EIF4G1","poor",999,0.762,0.768,0.311
"3473","P11940","Q12816","PABPC1","TRO","poor",0,0.462,1,0.268
"3474","P11940","Q8WWM7","PABPC1","ATXN2L","poor",942,0.695,0.854,0.366
"3475","P11940","Q99700","PABPC1","ATXN2","poor",999,0.775,0.847,0.4
"3476","P12004","P39748","PCNA","FEN1","poor",999,0.72,0.506,0.488
"3477","P12004","P62937","PCNA","PPIA","poor",392,0.573,0.54,0.291
"3478","P12004","Q15004","PCNA","PCLAF","poor",999,0.692,0.58,0.409
"3479","P12035","P13646","KRT3","KRT13","poor",225,0.858,0.871,0.783
"3480","P12035","P35900","KRT3","KRT20","poor",270,0.814,0.772,0.647
"3481","P12035","P42285","KRT3","MTREX","poor",0,0.334,0.421,0.126
"3482","P12035","Q03989","KRT3","ARID5A","poor",0,0.319,0.479,0.152
"3483","P12035","Q04695","KRT3","KRT17","rich",190,0.749,0.871,0.719
"3484","P12035","Q14203","KRT3","DCTN1","poor",0,0.495,0.669,0.284
"3485","P12035","Q99456","KRT3","KRT12","poor",292,0.943,0.743,0.714
"3486","P12035","Q9UMS5","KRT3","PHTF1","poor",0,0.264,0,0
"3487","P12036","P17661","NEFH","DES","poor",0,0.56,0.746,0.397
"3488","P12036","P50991","NEFH","CCT4","poor",0,0.528,0.449,0.187
"3489","P12036","Q00839","NEFH","HNRNPU","poor",0,0.508,0.416,0.249
"3490","P12036","Q8WZ42","NEFH","TTN","poor",0,0.483,0.572,0.221
"3491","P12036","Q9NP64","NEFH","ZCCHC17","poor",0,0.334,0.518,0.092
"3492","P12036","Q9Y639","NEFH","NPTN","poor",0,0.473,0.557,0.305
"3493","P12236","Q6NUK1","SLC25A6","SLC25A24","poor",464,0.935,0.366,0.515
"3494","P12236","Q99623","SLC25A6","PHB2","poor",393,0.674,0.603,0.154
"3495","P12268","Q14019","IMPDH2","COTL1","poor",0,0.84,0.544,0.185
"3496","P12270","P21399","TPR","ACO1","poor",0,0.595,0.625,0.221
"3497","P12270","P26358","TPR","DNMT1","poor",0,0.726,0.626,0.272
"3498","P12270","P35579","TPR","MYH9","poor",156,0.568,0.627,0.287
"3499","P12270","P52209","TPR","PGD","poor",0,0.645,0.236,0.082
"3500","P12270","Q01082","TPR","SPTBN1","poor",0,0.535,0.693,0.28
"3501","P12270","Q7Z388","TPR","DPY19L4","poor",0,0.879,0.128,0.256
"3502","P12270","Q7Z406","TPR","MYH14","poor",0,0.462,0.423,0.172
"3503","P12270","Q8N9B5","TPR","JMY","poor",0,0.745,0.596,0.276
"3504","P12270","Q9H254","TPR","SPTBN4","poor",0,0.51,0.576,0.247
"3505","P12277","P51858","CKB","HDGF","poor",0,0.661,0.35,0.109
"3506","P12755","P16949","SKI","STMN1","poor",0,0.48,0.552,0.33
"3507","P12755","Q93045","SKI","STMN2","poor",0,0.515,0.568,0.227
"3508","P12814","P31943","ACTN1","HNRNPH1","poor",0,0.463,0.633,0.168
"3509","P12814","P55795","ACTN1","HNRNPH2","poor",0,0.468,0.618,0.5
"3510","P12814","P60709","ACTN1","ACTB","poor",945,0.696,0.57,0.367
"3511","P12814","P62736","ACTN1","ACTA2","poor",584,0.66,0.295,0.197
"3512","P12814","P62753","ACTN1","RPS6","poor",0,0.51,0.619,0.282
"3513","P12814","P63261","ACTN1","ACTG1","poor",936,0.772,0.58,0.377
"3514","P12814","P63267","ACTN1","ACTG2","poor",592,0.676,0.17,0.161
"3515","P12814","P68032","ACTN1","ACTC1","poor",617,0.787,0.347,0.524
"3516","P12814","P68133","ACTN1","ACTA1","poor",962,0.716,0.499,0.309
"3517","P12814","Q562R1","ACTN1","ACTBL2","poor",234,0.693,0.58,0.409
"3518","P12956","P13010","XRCC6","XRCC5","rich",999,0.947,0.945,0.75
"3519","P12956","P23528","XRCC6","CFL1","poor",0,0.6,0.402,0.216
"3520","P12956","P39023","XRCC6","RPL3","poor",165,0.701,0.546,0.215
"3521","P12956","P78527","XRCC6","PRKDC","poor",999,0.898,0.623,0.561
"3522","P12956","Q92901","XRCC6","RPL3L","poor",0,0.444,0.418,0.202
"3523","P13010","Q5SSJ5","XRCC5","HP1BP3","poor",0,0.553,0.599,0.349
"3524","P13010","Q86SE5","XRCC5","RALYL","poor",0,0.48,0.543,0
"3525","P13010","Q9GZR7","XRCC5","DDX24","poor",0,0.525,0.709,0.729
"3526","P13010","Q9UFC0","XRCC5","LRWD1","poor",270,0.648,0.467,0.292
"3527","P13010","Q9Y6F1","XRCC5","PARP3","poor",635,0.605,0.331,0.44
"3528","P13073","P15954","COX4I1","COX7C","poor",997,0.856,1,0.878
"3529","P13073","P16401","COX4I1","H1-5","poor",0,0.551,0.458,0.133
"3530","P13073","P20674","COX4I1","COX5A","poor",999,0.778,0.8,0.961
"3531","P13073","P46100","COX4I1","ATRX","poor",0,0.559,0.415,0.152
"3532","P13073","P60709","COX4I1","ACTB","poor",767,0.498,0.503,0.157
"3533","P13073","P62736","COX4I1","ACTA2","poor",0,0.48,0.346,0.099
"3534","P13073","P63261","COX4I1","ACTG1","poor",340,0.537,0.516,0.127
"3535","P13073","P63267","COX4I1","ACTG2","poor",0,0.51,0.202,0.096
"3536","P13073","P68032","COX4I1","ACTC1","poor",0,0.533,0.333,0.145
"3537","P13073","P68133","COX4I1","ACTA1","poor",191,0.451,0.46,0.122
"3538","P13612","Q9UPT8","ITGA4","ZC3H4","poor",0,0.287,0.691,0.057
"3539","P13637","Q14683","ATP1A3","SMC1A","poor",0,0.383,0.654,0.187
"3540","P13637","Q8N9N7","ATP1A3","LRRC57","poor",0,0.55,0,0
"3541","P13637","Q96SW2","ATP1A3","CRBN","poor",0,0.525,0.6,0.178
"3542","P13637","Q9UQE7","ATP1A3","SMC3","poor",0,0.387,0.649,0.172
"3543","P13639","P13797","EEF2","PLS3","rich",0,0.638,0.29,0.187
"3544","P13639","P30040","EEF2","ERP29","poor",196,0.566,0.525,0.222
"3545","P13639","P60709","EEF2","ACTB","poor",660,0.699,0.599,0.19
"3546","P13639","P62736","EEF2","ACTA2","poor",440,0.626,0.516,0.198
"3547","P13639","P62829","EEF2","RPL23","poor",998,0.795,0.587,0.326
"3548","P13639","P63261","EEF2","ACTG1","poor",598,0.731,0.605,0.149
"3549","P13639","P63267","EEF2","ACTG2","poor",458,0.653,0.325,0.307
"3550","P13639","P68032","EEF2","ACTC1","poor",453,0.679,0.459,0.203
"3551","P13639","P68133","EEF2","ACTA1","poor",474,0.59,0.554,0.201
"3552","P13639","Q13769","EEF2","THOC5","poor",0,0.623,0.61,0.441
"3553","P13639","Q14683","EEF2","SMC1A","poor",0,0.6,0.709,0.147
"3554","P13639","Q6ZP82","EEF2","CCDC141","poor",0,0.521,1,0.156
"3555","P13639","Q7L8L6","EEF2","FASTKD5","poor",0,0.444,0.674,0.244
"3556","P13639","Q9H4M9","EEF2","EHD1","poor",0,0.689,0.659,0.136
"3557","P13639","Q9NX20","EEF2","MRPL16","poor",546,0.407,0.348,0.866
"3558","P13639","Q9Y4W6","EEF2","AFG3L2","poor",326,0.388,0.545,0.262
"3559","P13645","P13647","KRT10","KRT5","poor",869,0.91,0.856,0.597
"3560","P13645","P17661","KRT10","DES","poor",0,0.731,0.76,0.378
"3561","P13645","P35908","KRT10","KRT2","poor",888,0.959,0.856,0.747
"3562","P13645","P41219","KRT10","PRPH","poor",0,0.801,0.829,0
"3563","P13645","P78385","KRT10","KRT83","poor",0,0.751,0.931,0.675
"3564","P13645","P78386","KRT10","KRT85","poor",0,0.751,0.9,0.73
"3565","P13645","Q01546","KRT10","KRT76","poor",184,0.825,0.931,0.573
"3566","P13645","Q14533","KRT10","KRT81","poor",0,0.751,0.931,0.609
"3567","P13645","Q14CN4","KRT10","KRT72","poor",251,0.744,0.854,0.59
"3568","P13645","Q7Z794","KRT10","KRT77","poor",869,0.863,0.854,0.59
"3569","P13645","Q9NSB2","KRT10","KRT84","poor",0,0.744,0.583,0.605
"3570","P13645","Q9UKI8","KRT10","TLK1","poor",0,0.44,0.467,0.326
"3571","P13646","P13647","KRT13","KRT5","poor",345,0.886,0.836,0.47
"3572","P13646","P35908","KRT13","KRT2","poor",230,0.825,0.836,0.476
"3573","P13646","P48668","KRT13","KRT6C","poor",284,0.858,0.871,0.696
"3574","P13646","Q01546","KRT13","KRT76","poor",0,0.931,0.871,0.627
"3575","P13646","Q5XKE5","KRT13","KRT79","poor",281,0.846,0.855,0.652
"3576","P13646","Q9NSB2","KRT13","KRT84","poor",0,0.846,0.613,0.559
"3577","P13647","P19012","KRT5","KRT15","poor",546,0.901,0.935,0.598
"3578","P13647","P35900","KRT5","KRT20","rich",279,0.783,0.889,0.469
"3579","P13647","P42285","KRT5","MTREX","poor",0,0.57,0.44,0.11
"3580","P13647","Q03989","KRT5","ARID5A","poor",0,0.506,0.482,0.175
"3581","P13647","Q04695","KRT5","KRT17","rich",783,0.746,0.836,0.51
"3582","P13647","Q14203","KRT5","DCTN1","poor",0,0.6,0.633,0.258
"3583","P13647","Q16352","KRT5","INA","poor",0,0.721,0.852,0.435
"3584","P13647","Q99456","KRT5","KRT12","poor",192,0.841,0.743,0.449
"3585","P13647","Q9UMS5","KRT5","PHTF1","poor",0,0.341,0,0
"3586","P13667","P14625","PDIA4","HSP90B1","poor",998,0.688,0.532,0.537
"3587","P13667","P23284","PDIA4","PPIB","poor",987,0.708,0.673,0.412
"3588","P13667","P62829","PDIA4","RPL23","poor",0,0.505,0.59,0.221
"3589","P13667","P84101","PDIA4","SERF2","poor",0,0.504,0.467,0.147
"3590","P13667","Q13310","PDIA4","PABPC4","poor",191,0.494,0.704,0.153
"3591","P13667","Q6ZSZ6","PDIA4","TSHZ1","poor",0,0.454,0.354,0.102
"3592","P13667","Q86XP3","PDIA4","DDX42","poor",0,0.557,0.549,0.209
"3593","P13667","Q96LR7","PDIA4","C2orf50","poor",0,0,1,0
"3594","P13667","Q99543","PDIA4","DNAJC2","poor",0,0.561,0.602,0.323
"3595","P13667","Q99715","PDIA4","COL12A1","poor",0,0.672,0.176,0.308
"3596","P13667","Q9NUA8","PDIA4","ZBTB40","poor",0,0.643,0.55,0.324
"3597","P13667","Q9Y6V0","PDIA4","PCLO","poor",0,0.391,0.358,0.337
"3598","P13674","P60981","P4HA1","DSTN","poor",0,0.48,0.559,0.237
"3599","P13693","P68104","TPT1","EEF1A1","poor",984,0.723,0.641,0.1
"3600","P13693","Q05639","TPT1","EEF1A2","poor",624,0.555,0.597,0.233
"3601","P13693","Q5VTE0","TPT1","EEF1A1P5","poor",0,0.845,0.401,0.187
"3602","P13693","Q9Y277","TPT1","VDAC3","poor",236,0.617,0.508,0.172
"3603","P13796","Q16555","LCP1","DPYSL2","poor",0,0.667,0.491,0.448
"3604","P13797","P60709","PLS3","ACTB","poor",598,0.511,0.316,0.155
"3605","P13797","P62736","PLS3","ACTA2","poor",496,0.564,0.196,0.182
"3606","P13797","P63261","PLS3","ACTG1","poor",573,0.616,0.297,0.243
"3607","P13797","P63267","PLS3","ACTG2","poor",536,0.632,0.141,0.202
"3608","P13797","P68032","PLS3","ACTC1","poor",501,0.619,0.253,0.424
"3609","P13797","P68133","PLS3","ACTA1","poor",535,0.645,0.313,0.255
"3610","P13797","Q14315","PLS3","FLNC","poor",231,0.776,0.665,0.446
"3611","P13797","Q562R1","PLS3","ACTBL2","poor",366,0.643,0.314,0.33
"3612","P13797","Q9Y5J1","PLS3","UTP18","poor",0,0.347,0.193,0.178
"3613","P13804","P24821","ETFA","TNC","poor",0,0.326,0.499,0.091
"3614","P14314","P20585","PRKCSH","MSH3","poor",0,0.637,0.468,0.298
"3615","P14314","P23284","PRKCSH","PPIB","poor",259,0.692,0.591,0.279
"3616","P14314","Q7Z628","PRKCSH","NET1","poor",0,0.646,0.648,0.422
"3617","P14314","Q9Y4F4","PRKCSH","TOGARAM1","poor",0,0.375,0.711,0.116
"3618","P14317","P16104","HCLS1","H2AX","poor",0,0.511,0.571,0.274
"3619","P14317","P20671","HCLS1","H2AC7","poor",0,0.49,0.402,0.166
"3620","P14317","P62805","HCLS1","H4C1","poor",0,0.583,0.55,0.223
"3621","P14317","Q13123","HCLS1","IK","poor",0,0.679,0.663,0.163
"3622","P14317","Q16695","HCLS1","H3-4","poor",0,0.506,0.572,0.132
"3623","P14317","Q6FI13","HCLS1","H2AC18","poor",0,0.49,0.577,0.166
"3624","P14317","Q6NXT2","HCLS1","H3-5","poor",0,0.521,0.568,0.45
"3625","P14317","Q71DI3","HCLS1","H3C15","poor",0,0.533,0.572,0.132
"3626","P14317","Q7L7L0","HCLS1","H2AW","poor",0,0,0,0
"3627","P14317","Q93077","HCLS1","H2AC6","poor",0,0.51,0.577,0.235
"3628","P14317","Q96KK5","HCLS1","H2AC12","poor",0,0.49,0.402,0.166
"3629","P14317","Q96M83","HCLS1","CCDC7","poor",0,0,0,0
"3630","P14317","Q9BTM1","HCLS1","H2AJ","poor",0,0.49,0.402,0.166
"3631","P14317","Q9BV97","HCLS1","ZNF747","poor",0,0,0.609,1
"3632","P14317","Q9UBW7","HCLS1","ZMYM2","poor",0,0.714,0.597,0.288
"3633","P14618","P20810","PKM","CAST","poor",0,0.639,0.566,0.178
"3634","P14618","P46778","PKM","RPL21","poor",622,0.633,0.552,0.263
"3635","P14618","Q02878","PKM","RPL6","rich",414,0.64,0.614,0.271
"3636","P14618","Q03252","PKM","LMNB2","poor",0,0.434,0.457,0.207
"3637","P14618","Q12873","PKM","CHD3","poor",0,0.583,0.587,0.254
"3638","P14618","Q14118","PKM","DAG1","poor",0,0.621,0.556,0.204
"3639","P14618","Q14203","PKM","DCTN1","poor",0,0.554,0.473,0.185
"3640","P14618","Q14839","PKM","CHD4","poor",0,0.554,0.533,0.235
"3641","P14618","Q15075","PKM","EEA1","poor",0,0.582,0.503,0.138
"3642","P14618","Q58FF7","PKM","HSP90AB3P","poor",0,0.607,0.456,0.213
"3643","P14618","Q5SSJ5","PKM","HP1BP3","poor",0,0.471,0.507,0.22
"3644","P14618","Q8N5P1","PKM","ZC3H8","poor",0,0.526,0.614,0.312
"3645","P14618","Q8WWH5","PKM","TRUB1","poor",163,0.65,0.331,0.183
"3646","P14618","Q92878","PKM","RAD50","poor",0,0.536,0.548,0.232
"3647","P14618","Q9NQ39","PKM","RPS10P5","poor",0,0.504,0.381,0
"3648","P14618","Q9UKK3","PKM","PARP4","poor",0,0.691,0.546,0.217
"3649","P14618","Q9Y606","PKM","PUS1","poor",0,0.668,0.423,0.157
"3650","P14625","P16403","HSP90B1","H1-2","rich",0,0.422,0.56,0.161
"3651","P14625","P17066","HSP90B1","HSPA6","poor",644,0.671,0.811,0.354
"3652","P14625","P34931","HSP90B1","HSPA1L","poor",646,0.657,0.791,0.333
"3653","P14625","P37840","HSP90B1","SNCA","poor",492,0.673,0.561,0.308
"3654","P14625","P50570","HSP90B1","DNM2","poor",0,0.638,0.608,0.345
"3655","P14625","P52298","HSP90B1","NCBP2","poor",0,0.613,0.662,0.207
"3656","P14625","P54652","HSP90B1","HSPA2","poor",693,0.679,0.774,0.333
"3657","P14625","Q14693","HSP90B1","LPIN1","poor",586,0.685,0.433,0.203
"3658","P14625","Q15050","HSP90B1","RRS1","poor",0,0.54,0.613,0.185
"3659","P14625","Q16143","HSP90B1","SNCB","poor",0,0.493,0.557,0.254
"3660","P14625","Q6NW29","HSP90B1","RWDD4","poor",0,0,1,0
"3661","P14625","Q6UXK2","HSP90B1","ISLR2","poor",0,0.391,1,0.065
"3662","P14625","Q96J77","HSP90B1","TPD52L3","poor",0,0.841,1,0
"3663","P14625","Q96KR4","HSP90B1","LMLN","poor",174,0.624,0.313,0.315
"3664","P14625","Q9BRF8","HSP90B1","CPPED1","poor",159,0.585,0.296,0
"3665","P14625","Q9NYL9","HSP90B1","TMOD3","poor",246,0.333,0.341,0.236
"3666","P14625","Q9ULM3","HSP90B1","YEATS2","poor",0,0.37,0.492,0.236
"3667","P14625","Q9Y2B0","HSP90B1","CNPY2","poor",680,1,1,0.107
"3668","P14625","Q9Y2G0","HSP90B1","EFR3B","poor",0,0.499,1,0.134
"3669","P14625","Q9Y2X3","HSP90B1","NOP58","poor",163,0.594,0.611,0.154
"3670","P14635","Q13151","CCNB1","HNRNPA0","poor",0,0.558,0.44,0.112
"3671","P14678","P62314","SNRPB","SNRPD1","rich",999,0.967,0.79,0.951
"3672","P14678","P62318","SNRPB","SNRPD3","poor",999,0.974,0.846,1
"3673","P14735","P47914","IDE","RPL29","poor",0,0.622,0.316,0.242
"3674","P14866","Q00839","HNRNPL","HNRNPU","poor",988,0.741,0.696,0.393
"3675","P14923","P15924","JUP","DSP","poor",997,0.813,0.712,0.502
"3676","P14927","P22695","UQCRB","UQCRC2","poor",999,0.831,1,0.905
"3677","P15170","P42696","GSPT1","RBM34","poor",224,0.445,0.579,0.239
"3678","P15170","P63173","GSPT1","RPL38","poor",865,0.786,0.645,0.425
"3679","P15170","Q9UKV3","GSPT1","ACIN1","poor",0,0.596,0.788,0.247
"3680","P15259","P22695","PGAM2","UQCRC2","poor",178,0.491,0.497,0.19
"3681","P15259","Q9UI12","PGAM2","ATP6V1H","poor",0,0.522,0.442,0.104
"3682","P15313","P38606","ATP6V1B1","ATP6V1A","poor",996,0.766,0.793,0.497
"3683","P15531","P22392","NME1","NME2","rich",960,0.724,0.693,0.55
"3684","P15559","P35579","NQO1","MYH9","poor",0,0.528,0.535,0.187
"3685","P15880","P23396","RPS2","RPS3","poor",999,0.831,0.693,0.314
"3686","P15880","P46781","RPS2","RPS9","rich",999,0.892,0.842,0.662
"3687","P15880","P63220","RPS2","RPS21","poor",999,0.803,0.895,0.66
"3688","P15880","Q14152","RPS2","EIF3A","poor",997,0.738,0.854,0.586
"3689","P15924","P16401","DSP","H1-5","poor",0,0.416,0.718,0.309
"3690","P15924","P26447","DSP","S100A4","poor",310,0.567,0.644,0.192
"3691","P15924","Q8WYP5","DSP","AHCTF1","poor",0,0.572,0.694,0.227
"3692","P15924","Q96J77","DSP","TPD52L3","poor",0,1,1,0
"3693","P16070","Q9H6F5","CD44","CCDC86","poor",0,0.312,0.488,0
"3694","P16104","P16401","H2AX","H1-5","poor",386,0.824,0.862,0.401
"3695","P16104","P16402","H2AX","H1-3","poor",340,0.74,0.683,0.33
"3696","P16104","P16403","H2AX","H1-2","poor",499,0.703,0.864,0.33
"3697","P16104","P23527","H2AX","H2BC17","rich",0,0.702,0.919,1
"3698","P16104","P29590","H2AX","PML","poor",850,0.704,0.638,0.372
"3699","P16104","P33778","H2AX","H2BC3","rich",0,0.777,0.919,1
"3700","P16104","P55196","H2AX","AFDN","poor",0,0.467,0.617,0.26
"3701","P16104","P57053","H2AX","H2BC12L","rich",0,0.712,0.826,0.169
"3702","P16104","P58876","H2AX","H2BC5","rich",0,0.757,0.884,0
"3703","P16104","P62805","H2AX","H4C1","poor",992,0.782,0.902,0.335
"3704","P16104","P62807","H2AX","H2BC4","rich",923,0.748,0.909,0.235
"3705","P16104","P68431","H2AX","H3C1","rich",898,0.718,0.899,0.355
"3706","P16104","P82663","H2AX","MRPS25","poor",0,0.452,0.543,0.249
"3707","P16104","P84243","H2AX","H3-3A","rich",679,0.803,0.835,0.29
"3708","P16104","Q01085","H2AX","TIAL1","poor",0,0.602,0.697,0.301
"3709","P16104","Q02539","H2AX","H1-1","poor",393,0.772,0.839,0.431
"3710","P16104","Q14202","H2AX","ZMYM3","poor",306,1,0.745,0.191
"3711","P16104","Q16695","H2AX","H3-4","rich",0,0.849,0.919,0.321
"3712","P16104","Q16739","H2AX","UGCG","poor",0,0.327,0.504,0.251
"3713","P16104","Q16778","H2AX","H2BC21","rich",0,0.748,0.919,0.235
"3714","P16104","Q5DID0","H2AX","UMODL1","poor",0,0.398,0.192,0.256
"3715","P16104","Q5QNW6","H2AX","H2BC18","rich",0,0.757,0.797,0
"3716","P16104","Q5TEC6","H2AX","H3-7","rich",0,0.72,0.826,0
"3717","P16104","Q63HN8","H2AX","RNF213","poor",0,0.578,0.219,0.218
"3718","P16104","Q6DN03","H2AX","H2BC20P","poor",0,0,0,0
"3719","P16104","Q6DRA6","H2AX","H2BC19P","poor",0,0.659,0.826,0
"3720","P16104","Q6NXT2","H2AX","H3-5","rich",0,0.757,0.889,0.221
"3721","P16104","Q6ZU35","H2AX","CRACD","poor",0,0.4,1,0.104
"3722","P16104","Q71DI3","H2AX","H3C15","rich",0,0.761,0.919,0.321
"3723","P16104","Q7KZF4","H2AX","SND1","poor",286,0.545,0.504,0.254
"3724","P16104","Q7Z5L9","H2AX","IRF2BP2","poor",0,0.616,0.228,0.167
"3725","P16104","Q7Z7J5","H2AX","DPPA2","poor",0,0.614,0.606,0.619
"3726","P16104","Q86UB9","H2AX","TMEM135","poor",0,0.541,0,0.291
"3727","P16104","Q8IWB6","H2AX","TEX14","poor",0,0.548,0.531,0.283
"3728","P16104","Q8IYH5","H2AX","ZZZ3","poor",0,0.584,0.696,0.354
"3729","P16104","Q8N257","H2AX","H2BU1","rich",0,0,0,0
"3730","P16104","Q8NGP9","H2AX","OR5AR1","poor",0,0.257,0.33,0.196
"3731","P16104","Q8NGT1","H2AX","OR2K2","poor",0,0.257,0.11,0.196
"3732","P16104","Q8TEU7","H2AX","RAPGEF6","poor",0,0.438,0.554,0.165
"3733","P16104","Q8WUU5","H2AX","GATAD1","poor",0,0.614,0.416,0.313
"3734","P16104","Q93079","H2AX","H2BC9","rich",0,0.734,0.905,1
"3735","P16104","Q96A08","H2AX","H2BC1","rich",897,0.773,0.87,0.381
"3736","P16104","Q99877","H2AX","H2BC15","rich",938,0.757,0.826,1
"3737","P16104","Q99879","H2AX","H2BC14","rich",921,0.757,0.826,1
"3738","P16104","Q99880","H2AX","H2BC13","rich",880,0.757,0.919,1
"3739","P16104","Q9NRD8","H2AX","DUOX2","poor",0,0.436,0.443,0.255
"3740","P16104","Q9Y2I1","H2AX","NISCH","poor",0,0.589,0.599,0.218
"3741","P16104","Q9Y2W1","H2AX","THRAP3","poor",0,0.713,0.606,0.253
"3742","P16104","Q9Y6V7","H2AX","DDX49","poor",181,0.614,0.565,0.187
"3743","P16401","P16402","H1-5","H1-3","rich",580,0.907,0.877,0.724
"3744","P16401","P16403","H1-5","H1-2","rich",445,0.865,0.974,0.724
"3745","P16401","P20671","H1-5","H2AC7","rich",376,0.762,0.715,0.376
"3746","P16401","P20936","H1-5","RASA1","poor",0,0.366,0.457,0.271
"3747","P16401","P22492","H1-5","H1-6","poor",0,0.813,0.782,0.599
"3748","P16401","P23497","H1-5","SP100","poor",0,0.792,0.701,0.325
"3749","P16401","P23527","H1-5","H2BC17","rich",0,0.834,0.826,1
"3750","P16401","P26641","H1-5","EEF1G","poor",0,0.546,0.589,0.135
"3751","P16401","P33778","H1-5","H2BC3","rich",0,0.843,0.826,1
"3752","P16401","P39880","H1-5","CUX1","poor",0,0.859,0.489,0.346
"3753","P16401","P46100","H1-5","ATRX","rich",222,0.866,0.544,0.508
"3754","P16401","P47914","H1-5","RPL29","poor",202,0.457,0.61,0.206
"3755","P16401","P49917","H1-5","LIG4","poor",0,0.777,0.551,0.344
"3756","P16401","P51825","H1-5","AFF1","rich",0,0.542,1,0.328
"3757","P16401","P52926","H1-5","HMGA2","rich",239,0.78,0.633,0.409
"3758","P16401","P54709","H1-5","ATP1B3","poor",0,0.251,0.458,0.209
"3759","P16401","P54727","H1-5","RAD23B","poor",0,0.628,0.597,0.236
"3760","P16401","P54760","H1-5","EPHB4","poor",0,0.324,0.406,0.267
"3761","P16401","P57053","H1-5","H2BC12L","rich",0,0.79,0.747,0.108
"3762","P16401","P58876","H1-5","H2BC5","rich",0,0.789,0.796,0
"3763","P16401","P62805","H1-5","H4C1","rich",741,0.739,0.866,0.552
"3764","P16401","P62807","H1-5","H2BC4","rich",462,0.753,0.823,0.25
"3765","P16401","P62979","H1-5","RPS27A","rich",0,0.537,0.658,0.157
"3766","P16401","P62987","H1-5","UBA52","rich",0,0.538,0.526,0.143
"3767","P16401","P68104","H1-5","EEF1A1","poor",198,0.554,0.619,0.168
"3768","P16401","P68431","H1-5","H3C1","rich",668,0.721,0.812,0.501
"3769","P16401","P82675","H1-5","MRPS5","poor",0,0.491,0.575,0.145
